Name,Address,Region,Town,Longtitude,Latitude,path
順濟宮,金門縣891金湖鎮金港路,金門縣,金湖鎮,118.43455,24.41948,location_images/順濟宮.jpg
烈女廟,金門縣894烈嶼鄉青岐村,金門縣,烈嶼鄉,118.22308,24.418,location_images/烈女廟.jpg
李將軍廟(上林將軍廟),金門縣894烈嶼鄉上林村77號,金門縣,烈嶼鄉,118.22843,24.42914,location_images/李將軍廟(上林將軍廟).jpg
浯島城隍廟,金門縣893金城鎮光前路40號,金門縣,金城鎮,118.31617,24.43246,location_images/浯島城隍廟.jpg
外武廟,金門縣893金城鎮光前路86號,金門縣,金城鎮,118.31492,24.43308,location_images/外武廟.jpg
北鎮廟,金門縣893金城鎮中興路146巷1號,金門縣,金城鎮,118.31894,24.43387,location_images/北鎮廟.jpg
雙鯉古地關帝宮,金門縣892金寧鄉寧湖路801號,金門縣,金寧鄉,118.31117,24.47591,location_images/雙鯉古地關帝宮.jpg
迴向殿,金門縣893金城鎮金門城北門151號,金門縣,金城鎮,118.30951,24.40408,location_images/迴向殿.jpg
代天府,金門縣893金城鎮珠浦東路12之1號,金門縣,金城鎮,118.31961,24.43096,location_images/代天府.jpg
古地城隍廟,金門縣893金城鎮金門城85之1號,金門縣,金城鎮,118.30551,24.40191,location_images/古地城隍廟.jpg
金水寺,金門縣893金城鎮金水里前水頭138號,金門縣,金城鎮,118.29524,24.41214,location_images/金水寺.jpg
寶月庵,金門縣893金城鎮金門城文台寶塔後方,金門縣,金城鎮,118.3065,24.39923,location_images/寶月庵.jpg
金門基督教會,金門縣893金城鎮珠浦北路30號,金門縣,金城鎮,118.31746,24.43364,location_images/金門基督教會.jpg
李光前將軍廟,金門縣892金寧鄉西浦頭101號,金門縣,金寧鄉,118.31685,24.46845,location_images/李光前將軍廟.jpg
北嶽廟,金門縣890金沙鎮山西99號,金門縣,金沙鎮,118.43382,24.50085,location_images/北嶽廟.jpg
會山寺,金門縣890金沙鎮陽翟1號,金門縣,金沙鎮,118.42949,24.48134,location_images/會山寺.jpg
後浦武廟,金門縣893金城鎮莒光路122號,金門縣,金城鎮,118.31664,24.43302,location_images/後浦武廟.jpg
九宮碼頭,金門縣894烈嶼鄉九宮碼頭,金門縣,烈嶼鄉,118.26449,24.42585,location_images/九宮碼頭.jpg
獅山砲陣地,金門縣890金沙鎮獅山砲陣地,金門縣,金沙鎮,118.43708,24.50395,location_images/獅山砲陣地.jpg
金城民防坑道,金門縣893金城鎮民生路7號(金城車站二樓),金門縣,金城鎮,118.32021,24.43311,location_images/金城民防坑道.jpg
慰廬,金門縣891金湖鎮榕園內,金門縣,金湖鎮,118.43212,24.44391,location_images/慰廬.jpg
金門酒廠,金門縣892金寧鄉金寧鄉桃園路1號,金門縣,金寧鄉,118.34296,24.43094,location_images/金門酒廠.jpg
模範街,金門縣893金城鎮模範街,金門縣,金城鎮,118.31916,24.43179,location_images/模範街.jpg
楊氏明馨祖祠暨楊清廉紀念館,金門縣892金寧鄉安美村東堡25號,金門縣,金寧鄉,118.34144,24.45553,location_images/楊氏明馨祖祠暨楊清廉紀念館.jpg
瓊林戰鬥坑道,金門縣891金湖鎮金門縣金湖鎮瓊林村236-1號(瓊林村辦公室),金門縣,金湖鎮,118.37291,24.45518,location_images/瓊林戰鬥坑道.jpg
