title,image,area_1,area_2,latitude,longitude,address
加路蘭,/hotspots/taiwan_img/加路蘭.jpg,臺東縣,臺東市,22.80775,121.19607,臺東縣臺東市臺11線157公里處
都蘭紅糖文化園區（新東糖廠）,/hotspots/taiwan_img/都蘭紅糖文化園區（新東糖廠）.jpg,臺東縣,東河鄉,22.872189,121.22544,臺東縣東河鄉都蘭61號
布農部落休閒農場,/hotspots/taiwan_img/布農部落休閒農場.jpg,臺東縣,延平鄉,22.905841,121.09098,臺東縣延平鄉昇平路191號
關山米國學校,/hotspots/taiwan_img/關山米國學校.jpg,臺東縣,關山鎮,23.060986,121.16873,臺東縣關山鎮昌林路24-1號
成功海洋環境教室,/hotspots/taiwan_img/成功海洋環境教室.jpg,臺東縣,成功鎮,23.09766,121.38289,臺東縣成功鎮港邊路1-5號
綠島燈塔,/hotspots/taiwan_img/綠島燈塔.jpg,臺東縣,綠島鄉,22.67662,121.46611,臺東縣綠島鄉中寮村燈塔1號
新元昌紅茶產業文化館,/hotspots/taiwan_img/新元昌紅茶產業文化館.jpg,臺東縣,鹿野鄉,22.932824,121.11977,臺東縣鹿野鄉永安村永安路451號
金剛大道,/hotspots/taiwan_img/金剛大道.jpg,臺東縣,長濱鄉,23.33055,121.45136,臺東縣長濱鄉長光社區忠勇自行車道（東13線／長光產業道路）
臺東原生應用植物園,/hotspots/taiwan_img/臺東原生應用植物園.jpg,臺東縣,卑南鄉,22.852769,121.10404,臺東縣卑南鄉明峰村試驗場8號
國家人權博物館白色恐怖綠島紀念園區,/hotspots/taiwan_img/國家人權博物館白色恐怖綠島紀念園區.jpg,台東縣,綠島鄉,22.674669,121.49699,台東縣綠島鄉將軍岩20號
澎湖跨海大橋,/hotspots/taiwan_img/澎湖跨海大橋.jpg,澎湖縣,白沙鄉,23.657823,119.55453,澎湖縣白沙鄉通西嶼鄉橋樑
二崁傳統聚落,/hotspots/taiwan_img/二崁傳統聚落.jpg,澎湖縣,西嶼鄉,23.605174,119.51961,澎湖縣西嶼鄉二崁村
七美嶼,/hotspots/taiwan_img/七美嶼.jpg,澎湖縣,七美鄉,23.20656,119.42443,澎湖縣七美鄉
西嶼西臺,/hotspots/taiwan_img/西嶼西臺.jpg,澎湖縣,西嶼鄉,23.564167,119.48972,澎湖縣西嶼鄉
桶盤嶼,/hotspots/taiwan_img/桶盤嶼.jpg,澎湖縣,馬公市,23.510682,119.51874,澎湖縣馬公市桶盤嶼
吉貝嶼,/hotspots/taiwan_img/吉貝嶼.jpg,澎湖縣,白沙鄉,23.744722,119.60833,澎湖縣白沙鄉吉貝嶼
望安嶼,/hotspots/taiwan_img/望安嶼.jpg,澎湖縣,望安鄉,23.35758,119.50016,澎湖縣望安鄉
通梁古榕,/hotspots/taiwan_img/通梁古榕.jpg,澎湖縣,白沙鄉,23.656613,119.55701,澎湖縣白沙鄉通梁村149號
虎井嶼,/hotspots/taiwan_img/虎井嶼.jpg,澎湖縣,馬公市,23.490555,119.52777,澎湖縣馬公市虎井嶼
小門嶼,/hotspots/taiwan_img/小門嶼.jpg,澎湖縣,西嶼鄉,23.6525,119.52083,澎湖縣西嶼鄉小門嶼
險礁嶼,/hotspots/taiwan_img/險礁嶼.jpg,澎湖縣,白沙鄉,23.711325,119.6086,澎湖縣白沙鄉險礁嶼
澎湖天后宮,/hotspots/taiwan_img/澎湖天后宮.jpg,澎湖縣,馬公市,23.564694,119.56403,澎湖縣馬公市正義街1號
小白沙嶼,/hotspots/taiwan_img/小白沙嶼.jpg,澎湖縣,白沙鄉,23.678175,119.66706,澎湖縣白沙鄉小白沙嶼
澎湖國家風景區-澎湖遊客中心,/hotspots/taiwan_img/澎湖國家風景區-澎湖遊客中心.jpg,澎湖縣,馬公市,23.555971,119.60687,澎湖縣馬公市光華里171號
順承門,/hotspots/taiwan_img/順承門.jpg,澎湖縣,馬公市,23.563086,119.56223,澎湖縣馬公市中山路（馬公商港旁）
風櫃洞,/hotspots/taiwan_img/風櫃洞.jpg,澎湖縣,馬公市,23.538369,119.54417,澎湖縣馬公市風櫃里
觀音亭,/hotspots/taiwan_img/觀音亭.jpg,澎湖縣,馬公市,23.567592,119.56206,澎湖縣馬公市介壽路7號
林投公園,/hotspots/taiwan_img/林投公園.jpg,澎湖縣,湖西鄉,23.561856,119.64217,澎湖縣湖西鄉林投村
漁翁島燈塔,/hotspots/taiwan_img/漁翁島燈塔.jpg,澎湖縣,西嶼鄉,23.562543,119.4691,澎湖縣西嶼鄉外垵村195號
嵵裡沙灘,/hotspots/taiwan_img/嵵裡沙灘.jpg,澎湖縣,馬公市,23.525679,119.56693,澎湖縣馬公市嵵裡里
目斗嶼,/hotspots/taiwan_img/目斗嶼.jpg,澎湖縣,白沙鄉,23.786291,119.60043,澎湖縣白沙鄉目斗嶼
員貝嶼,/hotspots/taiwan_img/員貝嶼.jpg,澎湖縣,白沙鄉,23.648333,119.63388,澎湖縣白沙鄉員貝嶼
姑婆嶼,/hotspots/taiwan_img/姑婆嶼.jpg,澎湖縣,白沙鄉,23.715,119.55555,澎湖縣白沙鄉姑婆嶼
目斗嶼燈塔,/hotspots/taiwan_img/目斗嶼燈塔.jpg,澎湖縣,白沙鄉,23.786291,119.60043,澎湖縣白沙鄉目斗嶼
東吉嶼燈塔,/hotspots/taiwan_img/東吉嶼燈塔.jpg,澎湖縣,望安鄉,23.261298,119.66949,澎湖縣望安鄉東吉嶼
七美嶼燈塔,/hotspots/taiwan_img/七美嶼燈塔.jpg,澎湖縣,七美,23.190136,119.4282,澎湖縣七美嶼
花嶼燈塔,/hotspots/taiwan_img/花嶼燈塔.jpg,澎湖縣,望安鄉,23.40243,119.31665,澎湖縣望安鄉花嶼島
查母嶼燈塔,/hotspots/taiwan_img/查母嶼燈塔.jpg,澎湖縣,湖西鄉,23.534991,119.72479,澎湖縣湖西鄉查母嶼
澎湖生活博物館,/hotspots/taiwan_img/澎湖生活博物館.jpg,澎湖縣,馬公市,23.566972,119.57944,澎湖縣馬公市新生路327號
篤行十村眷村文化園區,/hotspots/taiwan_img/篤行十村眷村文化園區.jpg,澎湖縣,馬公市,23.563854,119.56094,澎湖縣馬公市新復里
隘門沙灘,/hotspots/taiwan_img/隘門沙灘.jpg,澎湖縣,湖西鄉,23.55478,119.6389,澎湖縣湖西鄉隘門村
大菓葉柱狀玄武岩,/hotspots/taiwan_img/大菓葉柱狀玄武岩.jpg,澎湖縣,西嶼鄉,23.595361,119.51638,澎湖縣西嶼鄉池東村10號
中央老街,/hotspots/taiwan_img/中央老街.jpg,澎湖縣,馬公市,23.564864,119.56487,澎湖縣馬公市中央街
雙心石滬,/hotspots/taiwan_img/雙心石滬.jpg,澎湖縣,七美鄉,23.220255,119.44691,澎湖縣七美鄉
澎湖南方四島國家公園,/hotspots/taiwan_img/澎湖南方四島國家公園.jpg,澎湖縣,東吉,23.257615,119.66794,澎湖縣東吉嶼、西吉嶼、東嶼坪嶼、西嶼坪嶼及周邊島礁
小門地質探索館,/hotspots/taiwan_img/小門地質探索館.jpg,澎湖縣,西嶼鄉,23.653902,119.51723,澎湖縣西嶼鄉小門村11號
北寮遊憩區,/hotspots/taiwan_img/北寮遊憩區.jpg,澎湖縣,湖西鄉,23.598599,119.67175,澎湖縣湖西鄉北寮村
山后民俗文化村,/hotspots/taiwan_img/山后民俗文化村.jpg,金門縣,金沙鎮,24.503811,118.44041,金門縣金沙鎮山后村
翟山坑道,/hotspots/taiwan_img/翟山坑道.jpg,金門縣,金城鎮,24.390301,118.32061,金門縣金城鎮
文臺寶塔,/hotspots/taiwan_img/文臺寶塔.jpg,金門縣,金城鎮,24.398746,118.306,金門縣金城鎮古城村
莒光樓,/hotspots/taiwan_img/莒光樓.jpg,金門縣,金城鎮,24.424968,118.319,金門縣金城鎮賢城路1號
古寧頭戰史館,/hotspots/taiwan_img/古寧頭戰史館.jpg,金門縣,金寧鄉,24.482975,118.32093,金門縣金寧鄉北山村‎古寧頭
太湖遊憩區,/hotspots/taiwan_img/太湖遊憩區.jpg,金門縣,金湖鎮,24.437466,118.42513,金門縣金湖鎮
馬山觀測所,/hotspots/taiwan_img/馬山觀測所.jpg,金門縣,金沙鎮,24.527716,118.40887,金門縣金沙鎮光華路二段
金門國家公園,/hotspots/taiwan_img/金門國家公園.jpg,金門縣,金寧鄉,24.442973,118.35187,金門縣金寧鄉伯玉路二段460號
八二三戰史館,/hotspots/taiwan_img/八二三戰史館.jpg,金門縣,金湖鎮,24.443188,118.4324,金門縣金湖鎮安民村1之11號
邱良功母節孝坊,/hotspots/taiwan_img/邱良功母節孝坊.jpg,金門縣,金城鎮,24.431387,118.31852,金門縣金城鎮莒光路一段
金門金城-後浦古樸文化,/hotspots/taiwan_img/金門金城-後浦古樸文化.jpg,金門縣,金城鎮,24.433119,118.32016,金門縣金城鎮
太武山,/hotspots/taiwan_img/太武山.jpg,金門縣,金湖鎮,24.457021,118.40433,金門縣金湖鎮玉章路
金門慈湖慈堤,/hotspots/taiwan_img/金門慈湖慈堤.jpg,金門縣,金寧鄉,24.463408,118.30054,金門縣金寧鄉
北椗島燈塔,/hotspots/taiwan_img/北椗島燈塔.jpg,金門縣,金湖鎮,24.427053,118.505,金門縣金湖鎮北椗島
